线路号: 1112
车辆编号	驾驶员编号
9060.0	101.0
9063.0	79.0
9121.0	34.0
9075.0	2006.0
9087.0	2533.0
9076.0	91.0
9089.0	1863.0
9090.0	2360.0
9100.0	123.0
9126.0	1614.0
9093.0	2358.0
9123.0	2376.0
9056.0	38.0
9092.0	2535.0
9078.0	2005.0
9064.0	2003.0
9088.0	98.0
9082.0	1630.0
9124.0	2244.0
9080.0	70.0
9069.0	14.0
9061.0	138.0
9068.0	67.0
9099.0	76.0
9096.0	1845.0
9086.0	2536.0
9097.0	1377.0
9074.0	163.0
9085.0	2367.0
9065.0	2246.0
9125.0	160.0
9081.0	1884.0
9098.0	1015.0
9053.0	1862.0
9102.0	180.0
9052.0	26.0
9066.0	2009.0
9120.0	1069.0
9084.0	2290.0
9270.0	2000.0
9119.0	2366.0
9059.0	2294.0
9091.0	28.0
9058.0	1720.0
9067.0	128.0
9073.0	64.0
9101.0	2538.0
9077.0	2245.0
9269.0	1998.0
9051.0	2289.0
9054.0	923.0
9057.0	1835.0
9079.0	116.0
9071.0	66.0
9083.0	1631.0
9070.0	2001.0
9122.0	905.0
9118.0	918.0
