线路号: 1115
车辆编号	驾驶员编号
1203.0	2347.0
1248.0	1960.0
1208.0	1162.0
1231.0	1358.0
1229.0	1716.0
1245.0	1382.0
1200.0	2355.0
1219.0	1924.0
1202.0	2349.0
1247.0	1268.0
1214.0	1170.0
1210.0	853.0
7126.0	2159.0
1221.0	1165.0
1222.0	806.0
1236.0	877.0
1234.0	1951.0
1226.0	1823.0
10064.0	878.0
1242.0	2398.0
1246.0	2075.0
1225.0	1788.0
1205.0	767.0
1239.0	1381.0
1216.0	1824.0
1252.0	1961.0
1198.0	1647.0
7124.0	2397.0
1227.0	2158.0
1249.0	361.0
1241.0	799.0
7133.0	840.0
1212.0	1215.0
1244.0	1962.0
1230.0	1557.0
1237.0	1942.0
7125.0	884.0
1206.0	1267.0
1218.0	1952.0
1251.0	2188.0
1223.0	874.0
1220.0	1407.0
1204.0	813.0
1199.0	818.0
1207.0	1665.0
1228.0	868.0
7132.0	1408.0
7134.0	1554.0
1243.0	2156.0
7131.0	888.0
7130.0	1208.0
1201.0	2351.0
1213.0	885.0
1209.0	1185.0
7128.0	1963.0
1238.0	1193.0
1233.0	2078.0
1217.0	1205.0
1224.0	1822.0
10063.0	1173.0
