线路号: 1101
车辆编号	驾驶员编号
9132.0	1599.0
9130.0	41.0
9173.0	1594.0
9153.0	1809.0
9147.0	1996.0
9154.0	192.0
9190.0	2292.0
9131.0	1873.0
9175.0	184.0
9195.0	1995.0
9163.0	182.0
9150.0	1316.0
9156.0	131.0
9145.0	171.0
9171.0	1122.0
9177.0	149.0
9176.0	146.0
9161.0	1866.0
9205.0	2362.0
9172.0	208.0
9169.0	206.0
9140.0	143.0
9192.0	27.0
9198.0	1601.0
9144.0	167.0
9129.0	1317.0
9204.0	19.0
9185.0	1622.0
9182.0	1999.0
9152.0	108.0
9146.0	1997.0
9207.0	1885.0
9151.0	1661.0
9160.0	2240.0
9148.0	1659.0
9158.0	185.0
9193.0	2374.0
9143.0	1130.0
9180.0	2287.0
9149.0	1127.0
9184.0	102.0
9136.0	1609.0
9191.0	2532.0
9181.0	100.0
9155.0	168.0
9179.0	2149.0
9200.0	2534.0
9138.0	1593.0
9137.0	2293.0
9141.0	147.0
9168.0	202.0
9142.0	2150.0
9194.0	2295.0
9206.0	2359.0
9166.0	199.0
9174.0	1827.0
9127.0	1319.0
9167.0	1136.0
9188.0	127.0
9196.0	1608.0
9128.0	1600.0
