线路号: 1106
车辆编号	驾驶员编号
9044.0	1987.0
9042.0	1964.0
9029.0	1982.0
9004.0	1448.0
9037.0	1553.0
9014.0	282.0
9036.0	1986.0
9025.0	1974.0
9030.0	276.0
9032.0	1286.0
9011.0	254.0
9003.0	297.0
9041.0	225.0
9026.0	308.0
9015.0	216.0
9013.0	249.0
9010.0	269.0
9043.0	215.0
9007.0	268.0
9035.0	252.0
9023.0	1452.0
9038.0	256.0
9031.0	267.0
9016.0	1447.0
9040.0	214.0
100000000.0	1286.0
9022.0	1542.0
9005.0	235.0
9018.0	1282.0
9019.0	233.0
9009.0	1445.0
9006.0	250.0
9012.0	318.0
9028.0	1512.0
9002.0	230.0
9046.0	222.0
9001.0	280.0
9033.0	246.0
