线路号: 1114
车辆编号	驾驶员编号
10131.0	894.0
10098.0	945.0
10103.0	1021.0
10134.0	1588.0
10102.0	1000.0
10059.0	1910.0
10054.0	1584.0
10092.0	1891.0
10055.0	1579.0
10119.0	2087.0
10087.0	904.0
10121.0	930.0
10100.0	1911.0
10124.0	1418.0
10117.0	964.0
10129.0	1668.0
10123.0	1346.0
10125.0	1919.0
10084.0	2266.0
10062.0	1645.0
10090.0	940.0
10096.0	948.0
10110.0	1712.0
10108.0	1056.0
10099.0	1868.0
10061.0	989.0
10058.0	978.0
10086.0	1589.0
10095.0	1375.0
10060.0	1362.0
10133.0	902.0
10126.0	1575.0
10097.0	2302.0
10083.0	941.0
10114.0	2106.0
10056.0	2084.0
10115.0	988.0
10128.0	2304.0
10120.0	1535.0
10113.0	1917.0
10122.0	2104.0
10130.0	2208.0
10093.0	1710.0
10111.0	2165.0
10127.0	956.0
10112.0	924.0
10088.0	2102.0
10057.0	1112.0
10085.0	2083.0
10107.0	1109.0
10109.0	2041.0
10053.0	1918.0
10105.0	953.0
10101.0	1336.0
10089.0	970.0
