线路号: 1102
车辆编号	驾驶员编号
9229.0	292.0
9103.0	274.0
9232.0	258.0
9209.0	326.0
9238.0	296.0
9222.0	1458.0
9214.0	419.0
9220.0	321.0
9111.0	381.0
9235.0	332.0
9236.0	341.0
9227.0	1976.0
9211.0	383.0
9226.0	344.0
9221.0	1453.0
9231.0	325.0
9104.0	311.0
9110.0	415.0
9225.0	331.0
9233.0	293.0
9215.0	1547.0
9216.0	285.0
9212.0	384.0
9105.0	1549.0
9224.0	453.0
9228.0	330.0
9230.0	244.0
9234.0	360.0
9223.0	1400.0
9219.0	380.0
9108.0	328.0
9237.0	345.0
9107.0	411.0
9109.0	402.0
9208.0	1975.0
9217.0	1287.0
9213.0	1397.0
