线路号: 1104
车辆编号	驾驶员编号
4069.0	850.0
4075.0	1217.0
7138.0	386.0
4061.0	775.0
7139.0	2353.0
4055.0	1426.0
7163.0	831.0
4079.0	1940.0
4066.0	1212.0
7136.0	1214.0
7135.0	2187.0
4070.0	800.0
4076.0	788.0
4058.0	319.0
7150.0	795.0
7156.0	773.0
7162.0	1211.0
7151.0	1432.0
7143.0	787.0
7146.0	1188.0
7147.0	1566.0
4065.0	1887.0
4062.0	778.0
7142.0	1842.0
4077.0	2111.0
4082.0	789.0
4063.0	1236.0
7148.0	1437.0
7164.0	2157.0
4081.0	837.0
7149.0	1428.0
7158.0	847.0
4074.0	353.0
7152.0	812.0
7155.0	386.0
4056.0	2152.0
7140.0	2462.0
7144.0	1175.0
7141.0	2153.0
7159.0	2400.0
4071.0	395.0
4080.0	1929.0
4073.0	791.0
4072.0	1938.0
4068.0	1402.0
4057.0	797.0
