线路号: 1111
车辆编号	驾驶员编号
10068.0	2279.0
1018.0	2248.0
1001.0	687.0
10074.0	1047.0
10075.0	1895.0
10141.0	1045.0
1003.0	2254.0
1014.0	2250.0
1021.0	954.0
10139.0	1722.0
10137.0	2286.0
1023.0	726.0
1009.0	1055.0
10069.0	2427.0
1006.0	2249.0
1011.0	1768.0
1016.0	1073.0
1019.0	1778.0
1016.0	1896.0
10138.0	2431.0
10135.0	1764.0
10067.0	2329.0
10073.0	1423.0
10065.0	1087.0
1010.0	756.0
10070.0	2429.0
10076.0	2096.0
1020.0	1701.0
1012.0	1723.0
1008.0	1518.0
1005.0	603.0
1025.0	1753.0
10064.0	2098.0
1007.0	1161.0
1013.0	651.0
10066.0	1763.0
9230.0	1070.0
10140.0	2095.0
1002.0	1051.0
1024.0	1901.0
1004.0	1070.0
