线路号: 1105
车辆编号	驾驶员编号
2134.0	463.0
2129.0	2234.0
2115.0	561.0
21410000.0	2031.0
2123.0	1679.0
2138.0	1498.0
2133.0	447.0
2144.0	2209.0
2140.0	468.0
2142.0	531.0
2126.0	502.0
2146.0	437.0
2117.0	479.0
2118.0	1495.0
2118.0	440.0
2113.0	1990.0
2125.0	428.0
2113.0	21.0
2120.0	490.0
2143.0	579.0
2140.0	2200.0
2139.0	1684.0
2120.0	488.0
2117.0	2069.0
2143.0	2227.0
2137.0	2029.0
2124.0	451.0
2119.0	2210.0
2112.0	542.0
2121.0	503.0
2116.0	538.0
2127.0	7.0
2119.0	481.0
2130.0	596.0
2121.0	1691.0
2122.0	566.0
2122.0	2052.0
2114.0	444.0
2114.0	507.0
