线路号: 1107
车辆编号	驾驶员编号
1183.0	1392.0
1159.0	1511.0
1152.0	1228.0
1182.0	664.0
1173.0	747.0
1180.0	2447.0
1192.0	2122.0
1155.0	1224.0
1156.0	2454.0
1167.0	636.0
1169.0	2258.0
1195.0	699.0
1164.0	604.0
1158.0	1524.0
1154.0	733.0
1194.0	719.0
1155.0	708.0
1158.0	2128.0
1179.0	1387.0
1191.0	2509.0
1160.0	752.0
1174.0	567.0
1154.0	2125.0
1177.0	717.0
1195.0	2541.0
1161.0	2446.0
1181.0	671.0
1189.0	2506.0
1165.0	617.0
1186.0	2528.0
1171.0	652.0
1165.0	2261.0
1159.0	1296.0
1193.0	592.0
1180.0	2169.0
9062.0	2447.0
1194.0	2175.0
1185.0	1522.0
1173.0	661.0
1176.0	716.0
1163.0	2502.0
1190.0	620.0
1181.0	639.0
1156.0	622.0
1184.0	694.0
1164.0	698.0
1161.0	2120.0
1169.0	2388.0
1163.0	632.0
1162.0	2388.0
1160.0	2382.0
1174.0	735.0
1172.0	2387.0
1184.0	1839.0
1188.0	2457.0
1175.0	1832.0
1157.0	734.0
1162.0	1385.0
1187.0	727.0
