线路号: 1110
车辆编号	驾驶员编号
7213.0	2477.0
7197.0	333.0
7182.0	232.0
7179.0	1421.0
7201.0	2483.0
7199.0	1971.0
7198.0	1401.0
7190.0	1541.0
7196.0	313.0
7186.0	423.0
7193.0	289.0
7195.0	1985.0
7204.0	264.0
7180.0	425.0
7200.0	2471.0
7208.0	1515.0
7206.0	1454.0
7217.0	303.0
7218.0	1983.0
7220.0	1538.0
7183.0	288.0
7202.0	1271.0
7185.0	1440.0
7215.0	294.0
7192.0	385.0
7184.0	1513.0
7214.0	1546.0
7181.0	1984.0
7205.0	327.0
7209.0	295.0
7189.0	1456.0
7211.0	2474.0
7191.0	265.0
7178.0	312.0
7208.0	1983.0
7203.0	304.0
7216.0	336.0
7219.0	299.0
7207.0	865.0
7188.0	247.0
