线路号: 1118
车辆编号	驾驶员编号
2061.0	515.0
2045.0	491.0
2038.0	584.0
2033.0	522.0
2035.0	446.0
2060.0	2217.0
2057.0	449.0
2050.0	2223.0
2067.0	2040.0
2046.0	2438.0
2056.0	59.0
2051.0	78.0
2037.0	6.0
2047.0	1680.0
2031.0	1132.0
2034.0	506.0
2054.0	565.0
2032.0	2071.0
2065.0	433.0
2042.0	489.0
2059.0	1503.0
2029.0	539.0
2055.0	1510.0
2043.0	8.0
2062.0	2224.0
2066.0	2148.0
9222.0	1791.0
2111.0	570.0
2048.0	12.0
2044.0	541.0
2058.0	583.0
2110.0	2057.0
2040.0	2070.0
2049.0	1.0
2063.0	552.0
2064.0	537.0
2053.0	2441.0
2041.0	435.0
2042.0	448.0
2030.0	489.0
2109.0	1791.0
11001200.0	2040.0
